Name,Basename,Release Date,Age Rating,Single Player,Multi Player,Franchise
Kirby and the Rainbow Curse,kirby-and-the-rainbow-curse,21/01/2015,ESRB-E,1,0,
Unreal Tournament,unreal-tournament,21/11/1999,ESRB-M,1,1,
Digimon World 2,digimon-world-2,26/07/2000,ESRB-E,1,0,
F1 2013,f1-2013,03/10/2013,PEGI-3,1,1,
Tales of Phantasia,tales-of-phantasia,14/12/1995,ESRB-E10,1,0,
Xenosaga Episode II: Jenseits von Gut und Böse,xenosaga-episode-ii-jenseits-von-gut-und-bose,23/06/2004,ESRB-T,1,0,
I am Bread,i-am-bread,02/12/2014,ESRB-E10,1,0,
Gex: Enter the Gecko,gex-enter-the-gecko,30/01/1998,ESRB-T,1,0,
Shrek 2: Beg for Mercy!,shrek-2-beg-for-mercy,26/11/2004,,,,
Contra: Shattered Soldier,contra-shattered-soldier,21/11/2002,ESRB-T,,,
Championship Motocross featuring Ricky Carmichael,championship-motocross-featuring-ricky-carmichael,31/01/1999,ESRB-E,,,
Dragon Ball Z: Chou Saiya Densetsu,dragon-ball-z-chou-saiya-densetsu,00/00/1992,,,,
NEKOPARA Vol. 1,nekopara-vol-1,28/12/2014,ESRB-M,1,0,
Skate It,skate-it,16/11/2008,ESRB-E,1,1,
Disney Magic World 2,disney-magic-world-2,00/00/2016,,,,
My Secret World by Imagine,my-secret-world-by-imagine,15/09/2008,ESRB-E,1,0,
Fire Emblem: Seisen no Keifu,fire-emblem-seisen-no-keifu,00/00/1996,,,,
ABZU,abzu,00/00/2016,,,,
Tenchu 2: Birth of the Stealth Assassins,tenchu-2-birth-of-the-stealth-assassins,14/08/2000,ESRB-M,1,0,
Sniper Elite: Nazi Zombie Army,sniper-elite-nazi-zombie-army,27/02/2013,ESRB-M,1,1,
Disgaea 4: A Promise Unforgotten,disgaea-4-a-promise-unforgotten,23/02/2011,ESRB-T,1,0,
Naruto: Uzumaki Chronicles 2,naruto-uzumaki-chronicles-2,15/11/2006,ESRB-T,1,1,
NHL 06,nhl-06,05/09/2005,ESRB-E10,1,1,
Rapala: We Fish,rapala-we-fish,28/09/2009,ESRB-E,1,1,
Theme Park,theme-park,30/12/1994,ESRB-E,1,0,
The Lego Ninjago Movie Videogame,the-lego-ninjago-movie-videogame,00/00/2017,,,,
Far Cry Instincts,far-cry-instincts,26/09/2005,ESRB-M,1,1,
ATV Offroad Fury: Blazin' Trails,atv-offroad-fury-blazin-trails,18/04/2005,ESRB-E,1,1,
Yokai Sangokushi,yokai-sangokushi,00/00/2016,,,,
BlazBlue: Calamity Trigger,blazblue-calamity-trigger,18/11/2008,ESRB-T,1,1,
BlackSite: Area 51,blacksite-area-51,11/11/2007,ESRB-T,1,1,
Ultra Street Fighter II: The Final Challengers,ultra-street-fighter-ii-the-final-challengers,25/05/2017,ESRB-T,1,1,
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,mobile-suit-gundam-giren-no-yabou-zeon-no-keifu,00/00/2000,,,,
Spyro Orange: The Cortex Conspiracy,spyro-orange-the-cortex-conspiracy,02/06/2004,ESRB-E,1,1,
Harvest Moon: The Tale of Two Towns,harvest-moon-the-tale-of-two-towns,07/07/2010,ESRB-E,1,0,
Beyond The Beyond,beyond-the-beyond,30/09/1996,,1,0,
Mega Man Star Force 2: Zerker x Ninja,mega-man-star-force-2-zerker-x-ninja,21/11/2007,ESRB-E,1,1,Mega Man
Harvest Moon: Sunshine Islands,harvest-moon-sunshine-islands,00/00/2009,,,,
Naruto: Ultimate Ninja 2,naruto-ultimate-ninja-2,29/09/2004,ESRB-T,1,1,
3D Dot Game Heroes,3d-dot-game-heroes,04/11/2009,,1,0,
Football Manager 2005,football-manager-2005,04/11/2004,ESRB-E,1,1,
Nazo no Murasame-Jou (FDS),nazo-no-murasame-jou-fds,00/00/1986,,,,
NBA Hangtime,nba-hangtime,15/04/1996,ESRB-E,1,1,
Blood Wake,blood-wake,27/12/2001,ESRB-T,1,1,
Dynasty Warriors 5: Xtreme Legends,dynasty-warriors-5-xtreme-legends,14/11/2005,ESRB-T,,,
Jampack Summer 2002,jampack-summer-2002,00/00/2002,,,,
Trivial Pursuit,trivial-pursuit,09/03/2009,ESRB-E,1,1,
FIFA World Cup Germany 2006,fifa-world-cup-germany-2006,23/04/2006,ESRB-E,,,
Wreckless: The Yakuza Missions,wreckless-the-yakuza-missions,03/02/2002,ESRB-T,1,0,
Anomaly: Warzone Earth,anomaly-warzone-earth,07/04/2011,ESRB-E10,1,0,
Starlink: Battle for Atlas,starlink-battle-for-atlas,15/10/2018,ESRB-E10,1,1,
Super Bomberman,super-bomberman,27/04/1993,ESRB-E,1,1,
Tony Hawk: Shred,tony-hawk-shred,25/10/2010,ESRB-E,1,1,
SD Gundam G Generation Neo,sd-gundam-g-generation-neo,27/11/2002,,,,
Rallisport Challenge,rallisport-challenge,04/03/2002,ESRB-E,1,1,
Resident Evil Outbreak File #2,resident-evil-outbreak-file-2,08/09/2004,,1,1,
NHL 14,nhl-14,09/09/2013,ESRB-E10,1,1,
The Sims 3: World Adventures,the-sims-3-world-adventures,17/11/2009,ESRB-T,1,0,
Bob the Builder: Can We Fix It?,bob-the-builder-can-we-fix-it,11/02/2000,,,,
XIII,xiii,17/11/2003,ESRB-M,1,1,XIII
Bratz 4 Real,bratz-4-real,04/12/2007,,,,
NHL 18,nhl-18,14/09/2017,PEGI-12,1,1,
NEKOPARA Vol. 0,nekopara-vol-0,15/08/2015,,1,0,
The Legend of Spyro: Dawn of the Dragon,the-legend-of-spyro-dawn-of-the-dragon,20/10/2008,ESRB-E,1,1,
Mega Man Legacy Collection,mega-man-legacy-collection,24/08/2015,ESRB-E,1,0,
Breath of Fire IV,breath-of-fire-iv,26/04/2000,ESRB-T,1,0,
Everybody's Golf,everybodys-golf,16/07/1997,ESRB-E,1,1,
Petz Wild Animals Tigerz,petz-wild-animals-tigerz,00/00/2008,ESRB-E,,,
The Amazing Spider-Man 2 (2014),the-amazing-spider-man-2-2014,00/00/2014,,,,
Odin Sphere,odin-sphere,16/05/2007,ESRB-T,1,0,
Final Fantasy IV: The Complete Collection,final-fantasy-iv-the-complete-collection,20/05/2011,,1,0,
The Incredible Hulk,the-incredible-hulk,04/06/2008,ESRB-T,1,0,Hulk
Kingdoms and Castles,kingdoms-and-castles,19/07/2017,,1,0,
Ms. Pac-Man Maze Madness,ms-pac-man-maze-madness,07/09/2000,ESRB-E,1,1,
State of Anarchy,state-of-anarchy,26/04/2016,,1,0,
Soul Sacrifice,soul-sacrifice,29/04/2013,ESRB-M,1,0,
Jillian Michaels' Fitness Ultimatum 2010,jillian-michaels-fitness-ultimatum-2010,00/00/2009,,,,
Arena Football,arena-football,06/02/2006,ESRB-E,1,1,
NHL Hitz 20-02,nhl-hitz-20-02,00/00/2001,,,,
Classic NES Series: Dr. Mario,classic-nes-series-dr-mario,24/10/2004,ESRB-E,,,
NCAA March Madness 07,ncaa-march-madness-07,16/02/2007,,,,
"Monsters, Inc. Scream Team"," inc. scream team""",00/00/2001,,,,
Harry Potter Collection,harry-potter-collection,00/00/2007,,,,
Yu-Gi-Oh! World Championship Tournament 2004,yu-gi-oh-world-championship-tournament-2004,04/02/2004,ESRB-E,1,0,Yu-Gi-Oh!
Cabela's Big Game Hunter 2005 Adventures,cabelas-big-game-hunter-2005-adventures,00/00/2004,,,,
Knockout Kings 2001,knockout-kings-2001,29/11/2000,,,,
Battlefield 2: Modern Combat,battlefield-2-modern-combat,23/10/2005,ESRB-T,1,1,
All-Star Baseball 2002,all-star-baseball-2002,16/03/2001,ESRB-E,1,1,
Puzzle & Dragons Z + Super Mario Bros. Edition,puzzle-amp-dragons-z-super-mario-bros-edition,00/00/2015,,,,
Metroid: Samus Returns,metroid-samus-returns,14/09/2017,ESRB-E10,1,0,
Backyard NFL Football,backyard-nfl-football,00/00/2002,,,,
NASCAR Rumble,nascar-rumble,02/02/2000,ESRB-E,1,1,
WWE Raw 2,wwe-raw-2,14/09/2003,ESRB-T,1,1,WWE
Mega Man X2,mega-man-x2,15/12/1994,ESRB-E,1,0,Mega Man
Yakuza 4,yakuza-4,07/03/2010,ESRB-M,1,0,
Manhunt 2,manhunt-2,28/10/2007,ESRB-M,1,0,
Bravely Second: End Layer,bravely-second-end-layer,22/04/2015,ESRB-T,1,0,
Fullmetal Alchemist and the Broken Angel,fullmetal-alchemist-and-the-broken-angel,24/12/2003,ESRB-T,1,0,
Hamtaro: Ham-Hams Unite!,hamtaro-ham-hams-unite,27/11/2002,ESRB-E,,,
Batman Begins,batman-begins,13/07/2005,,1,0,Batman
DOOM VFR,doom-vfr,29/11/2017,PEGI-18,1,0,
Dr. Seuss' The Cat in the Hat,dr-seuss-the-cat-in-the-hat,03/11/2003,ESRB-E,,,The Cat in the Hat
Just Cause 4,just-cause-4,03/12/2018,ESRB-M,1,0,
Barbie: Groovy Games,barbie-groovy-games,00/00/2002,ESRB-E,,,
Defense Grid: The Awakening,defense-grid-the-awakening,07/12/2008,PEGI-12,1,0,
Archer Maclean's Mercury,archer-macleans-mercury,05/04/2005,PEGI-3,1,0,
Yu-Gi-Oh! Reshef of Destruction,yu-gi-oh-reshef-of-destruction,19/03/2003,ESRB-E,1,1,
Blinx: The Time Sweeper,blinx-the-time-sweeper,06/10/2002,ESRB-E,1,0,
ESPN NFL Football,espn-nfl-football,02/09/2003,ESRB-E,1,1,
Fatal Fury Special,fatal-fury-special,15/01/1993,PEGI-12,1,1,
DS Bimoji Training,ds-bimoji-training,00/00/2008,,,,
Enslaved: Odyssey to the West,enslaved-odyssey-to-the-west,04/10/2010,ESRB-T,1,0,
Dora The Explorer: Dora Saves The Snow Princess,dora-the-explorer-dora-saves-the-snow-princess,00/00/2008,,,,
No More Heroes,no-more-heroes,05/12/2007,ESRB-M,1,0,
Soldier Of Fortune: Gold Edition,soldier-of-fortune-gold-edition,10/12/2001,,,,
Viscera Cleanup Detail: Santa's Rampage,viscera-cleanup-detail-santas-rampage,00/00/2017,,,,
MX 2002 Featuring Ricky Carmichael,mx-2002-featuring-ricky-carmichael,02/06/2001,ESRB-E,1,0,
Frontlines: Fuel of War,frontlines-fuel-of-war,24/02/2008,ESRB-T,1,1,
Lunar: Silver Star Story Complete,lunar-silver-star-story-complete,27/06/1999,ESRB-T,,,
NBA Showtime: NBA on NBC,nba-showtime-nba-on-nbc,30/10/1999,ESRB-E,1,1,NBA
Dungeons of Dredmor,dungeons-of-dredmor,12/07/2011,,1,0,
Soul Reaver 2,soul-reaver-2,00/00/2001,,,,
Metal Gear Solid 3: Subsistence,metal-gear-solid-3-subsistence,21/12/2005,,1,0,
The Godfather (old US sales),the-godfather-old-us-sales,00/00/2006,,,,
Daytona USA,daytona-usa,31/07/1993,ESRB-E,1,1,
WWF Raw (2002),wwf-raw-2002,00/00/2002,,,,
Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy,19/07/2017,ESRB-E10,1,0,
Shin Super Robot Taisen,shin-super-robot-taisen,26/01/1997,,,,
Catz,catz,30/12/2000,ESRB-T,1,1,
Ratchet & Clank: Quest for Booty,ratchet-amp-clank-quest-for-booty,00/00/2008,,,,
Jump Super Stars,jump-super-stars,07/08/2005,,1,0,
Inazuma Eleven GO: Dark / Shine,inazuma-eleven-go-dark,00/00/2011,,,,
Poochy & Yoshi's Woolly World,poochy-amp-yoshis-woolly-world,00/00/2017,,,,
MX vs. ATV Alive,mx-vs-atv-alive,09/05/2011,ESRB-E,1,1,
The Activision Decathlon,the-activision-decathlon,30/12/1983,,1,1,
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,simple-1500-series-vol-73-the-invaders-space-invaders-1500,00/00/2001,,,,
Fighting Force 2,fighting-force-2,29/11/1999,ESRB-T,1,1,
Sakura Wars,sakura-wars,11/12/2019,ESRB-T,1,0,
Extermination,extermination,07/03/2001,ESRB-M,1,0,
Batman: Vengeance,batman-vengeance,14/10/2001,ESRB-T,1,0,Batman
Disgaea 3: Absence of Justice,disgaea-3-absence-of-justice,30/01/2008,ESRB-T,1,0,
Puyo Puyo Tetris,puyo-puyo-tetris,05/02/2014,ESRB-E10,1,1,tetris
Rapala Tournament Fishing,rapala-tournament-fishing,20/11/2006,ESRB-E,1,0,
Sniper Elite 4,sniper-elite-4,13/02/2017,ESRB-M,1,1,
Secret Agent Clank(US sales),secret-agent-clankus-sales,00/00/2008,,,,
Derby Stallion 04,derby-stallion-04,00/00/2004,,,,
Purr Pals,purr-pals,26/03/2007,ESRB-E,1,1,
Mega Man Zero,mega-man-zero,25/04/2002,ESRB-E,1,0,Mega Man
Lara Croft and the Guardian of Light,lara-croft-and-the-guardian-of-light,17/08/2010,ESRB-T,1,1,
Contender 2,contender-2,18/01/2001,,,,
Grease,grease,23/08/2010,ESRB-E10,1,1,Grease
Medieval II: Total War,medieval-ii-total-war,09/11/2006,ESRB-T,1,1,
Yakuza: Dead Souls,yakuza-dead-souls,08/06/2011,ESRB-M,1,0,
Tiger Woods PGA Tour 13,tiger-woods-pga-tour-13,26/03/2012,ESRB-E,1,1,
Legends of WrestleMania,legends-of-wrestlemania,00/00/2009,,,,
SD Gundam G Generation Zero,sd-gundam-g-generation-zero,11/09/1999,,,,
Kingdom Hearts Final Mix,kingdom-hearts-final-mix,21/12/2002,,1,0,
Door Kickers,door-kickers,19/10/2014,PEGI-7,1,1,
Super Robot Taisen F,super-robot-taisen-f,31/01/1997,,,,
Spec Ops: The Line,spec-ops-the-line,25/06/2012,ESRB-M,1,1,
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,soccer-tsuku-2002-j-league-pro-soccer-club-o-tsukurou,00/00/2002,,,,
Monster Jam: Path of Destruction,monster-jam-path-of-destruction,08/11/2010,ESRB-E,1,1,
Super Robot Taisen F Kanketsuhen,super-robot-taisen-f-kanketsuhen,14/05/1999,,,,
ZhuZhu Pets 2: Featuring The Wild Bunch,zhuzhu-pets-2-featuring-the-wild-bunch,11/11/2010,ESRB-E,,,
Mini Metro,mini-metro,21/10/2015,ESRB-E,1,0,
Rory McIlroy PGA Tour,rory-mcilroy-pga-tour,31/05/2015,,1,1,
Donkey Kong Jungle Climber,donkey-kong-jungle-climber,00/00/2007,,,,
Lips: Number One Hits,lips-number-one-hits,19/10/2009,PEGI-12,1,1,
Killer Is Dead,killer-is-dead,31/07/2013,,1,0,
Petz Catz Clan,petz-catz-clan,00/00/2008,,,,
Jak X: Combat Racing,jak-x-combat-racing,17/10/2005,ESRB-T,1,1,
Blackwake,blackwake,23/02/2017,,0,1,
Project CARS 2,project-cars-2,21/09/2017,ESRB-E,1,1,
Viva Pinata: Pocket Paradise,viva-pinata-pocket-paradise,04/09/2008,,,,
American Idol,american-idol,06/11/2003,ESRB-E,1,0,American Idol
Top Gun: Fire At Will,top-gun-fire-at-will,20/02/1996,ESRB-T,,,
Barbie Horse Adventures: Riding Camp,barbie-horse-adventures-riding-camp,20/11/2008,ESRB-E,,,
Crosswords,crosswords,00/00/2008,,,,
Dynasty Warriors: Gundam 3,dynasty-warriors-gundam-3,15/12/2010,PEGI-12,1,1,
SingStar: Summer Party,singstar-summer-party,24/04/2008,,1,1,
Dragon Ball Z: Shin Budokai,dragon-ball-z-shin-budokai,06/03/2006,ESRB-T,1,1,Dragon Ball
Gekikuukan Pro Yakyuu: At the End of the Century 1999,gekikuukan-pro-yakyuu-at-the-end-of-the-century-1999,00/00/2000,,,,
Are You Smarter Than A 5th Grader?: Make the Grade,are-you-smarter-than-a-5th-grader-make-the-grade,19/11/2008,ESRB-E,,,
Medarot 2: Kabuto / Kuwagata Version,medarot-2-kabuto,00/00/1999,,,,
Dance Dance Revolution Ultramix,dance-dance-revolution-ultramix,00/00/2003,,,,
F.E.A.R.,fear,00/00/2007,,,,
Crash Tag Team Racing,crash-tag-team-racing,18/10/2005,,1,1,
Front Mission 4,front-mission-4,17/12/2003,ESRB-T,,,
NBA Live 10,nba-live-10,05/10/2009,ESRB-E,1,1,
Mega Man Battle Network 2,mega-man-battle-network-2,13/12/2001,ESRB-E,1,1,Mega Man
Hotel Dusk: Room 215,hotel-dusk-room-215,21/01/2007,ESRB-T,1,0,
Punch Club,punch-club,07/01/2016,ESRB-T,1,0,
SRS: Street Racing Syndicate,srs-street-racing-syndicate,03/11/2005,ESRB-T,,,
System 3 presents Ferrari Challenge Trofeo Pirelli,system-3-presents-ferrari-challenge-trofeo-pirelli,00/00/2008,,,,
Let's Draw,lets-draw,29/12/2016,,1,0,
Action Force,action-force,31/01/1983,,0,1,
Valkyria Chronicles II,valkyria-chronicles-ii,00/00/2010,,,,
FIFA 99,fifa-99,09/06/1998,,1,1,
Gauntlet Legends,gauntlet-legends,30/09/1998,ESRB-T,1,1,
Kidou Senshi Gundam: Extreme VS,kidou-senshi-gundam-extreme-vs,00/00/2011,,,,
Bust a Groove,bust-a-groove,28/01/1998,ESRB-E,1,1,
Fire Emblem: Path of Radiance,fire-emblem-path-of-radiance,19/04/2005,ESRB-T,1,0,
Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,dragon-quest-characters-torneko-no-daibouken-3-fushigi-no-dungeon,00/00/2002,,,,
Pachi-Slot Aruze Oukoku 2,pachi-slot-aruze-oukoku-2,00/00/1999,,,,
Metro 2033,metro-2033,15/03/2010,ESRB-M,1,0,
Mario Tennis: Ultra Smash,mario-tennis-ultra-smash,19/11/2015,ESRB-E,1,1,
Petz Nursery,petz-nursery,09/12/2009,,,,
Tales of Symphonia Chronicles,tales-of-symphonia-chronicles,09/10/2013,ESRB-T,1,1,
Bratz: Rock Angelz,bratz-rock-angelz,03/10/2005,ESRB-E,1,0,Bratz
Golf It!,golf-it,16/02/2017,,1,1,
50 Classic Games,50-classic-games,13/08/2009,ESRB-E,,,
Greg Hastings' Tournament Paintball,greg-hastings-tournament-paintball,15/11/2004,ESRB-T,1,1,
Harry Potter and the Deathly Hallows – Part 1,harry-potter-and-the-deathly-hallows-part-1,15/11/2010,ESRB-T,1,0,Harry Potter
Summer Sports: Paradise Island,summer-sports-paradise-island,14/04/2008,ESRB-E,1,1,
World Soccer Winning Eleven 7 International (JP version),world-soccer-winning-eleven-7-international-jp-version,00/00/2004,,,,
ESPN NBA Basketball,espn-nba-basketball,20/10/2003,ESRB-E,1,1,
The Sims 3: Pets,the-sims-3-pets,17/10/2011,ESRB-T,1,0,
Saints Row: Gat Out of Hell,saints-row-gat-out-of-hell,19/01/2015,ESRB-M,1,1,
Time Crisis: Razing Storm,time-crisis-razing-storm,18/10/2010,ESRB-T,,,
Over The Hedge,over-the-hedge,04/05/2006,ESRB-E10,1,1,Over The Hedge
Mat Hoffman's Pro BMX,mat-hoffmans-pro-bmx,00/00/2001,,,,
Tatsunoko VS. Capcom: Ultimate All Stars,tatsunoko-vs-capcom-ultimate-all-stars,25/01/2010,ESRB-T,1,1,
Dragon Ball Fusions,dragon-ball-fusions,07/09/2016,PEGI-12,1,0,
The Hobbit,the-hobbit,23/10/2003,ESRB-E,1,0,The Hobbit
War Of The Monsters,war-of-the-monsters,13/01/2003,ESRB-T,1,1,
The Incredible Hulk: Ultimate Destruction,the-incredible-hulk-ultimate-destruction,22/08/2005,ESRB-T,1,0,Hulk
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare"," shinitamou koto nakare""",00/00/1998,,,,
Rune Factory: A Fantasy Harvest Moon,rune-factory-a-fantasy-harvest-moon,23/08/2006,,,,
Time Crisis II,time-crisis-ii,28/02/1997,,1,1,
Clock Tower,clock-tower,13/09/1995,,1,0,
Life is Feudal: Your Own,life-is-feudal-your-own,16/11/2015,ESRB-M,0,1,
NCAA March Madness 06,ncaa-march-madness-06,10/10/2005,ESRB-E,1,1,NCAA
Jampack Volume 11,jampack-volume-11,00/00/2004,,,,
G-Force,g-force,00/00/2009,,,,
Legacy of Kain: Defiance,legacy-of-kain-defiance,10/11/2003,ESRB-M,1,0,
SpongeBob SquarePants: Game Boy Advance Video Volume 2,spongebob-squarepants-game-boy-advance-video-volume-2,00/00/2004,,,,
Hello Kitty: Big City Dreams,hello-kitty-big-city-dreams,16/11/2008,ESRB-E,1,0,Hello Kitty
007 Racing,007-racing,19/11/2000,ESRB-T,1,1,James Bond
NCAA March Madness 2005,ncaa-march-madness-2005,15/11/2004,ESRB-E,1,1,NCAA
Unit 13,unit-13,05/03/2012,ESRB-T,1,1,
Conflict: Vietnam,conflict-vietnam,02/09/2004,ESRB-M,1,1,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2-in-1-combo-pack-sonic-heroes,00/00/2005,,,,
Phoenix Wright: Ace Attorney − Justice for All,phoenix-wright-ace-attorney-justice-for-all,21/10/2002,ESRB-T,1,0,
MLB SlugFest 20-04,mlb-slugfest-20-04,00/00/2003,,,,
Gex 3: Deep Cover Gecko,gex-3-deep-cover-gecko,22/03/1999,ESRB-T,1,0,
NASCAR 09,nascar-09,09/06/2008,ESRB-E,1,1,NASCAR
Jampack Vol. 2,jampack-vol-2,00/00/1997,,,,
Inazuma Eleven,inazuma-eleven,21/08/2008,,1,1,
Virtual Soccer,virtual-soccer,31/01/1993,,,,
Romance of the Three Kingdoms IV: Wall of Fire,romance-of-the-three-kingdoms-iv-wall-of-fire,08/12/1994,,1,0,Romance Of The Three Kingdoms
Excite Truck,excite-truck,18/11/2006,ESRB-E,1,1,
Winning Post,winning-post,16/09/1993,,1,0,
Medal of Honor: European Assault,medal-of-honor-european-assault,06/06/2005,ESRB-T,1,1,
Ty the Tasmanian Tiger 2: Bush Rescue,ty-the-tasmanian-tiger-2-bush-rescue,11/10/2004,ESRB-E,1,1,
Shadowrun: Dragonfall,shadowrun-dragonfall,26/02/2014,,1,0,
NBA 06,nba-06,25/10/2005,ESRB-E,,,
Magician's Quest: Mysterious Times,magicians-quest-mysterious-times,04/05/2009,,,,
How to Train Your Dragon,how-to-train-your-dragon,22/03/2010,ESRB-E10,1,1,How to Train Your Dragon
Jewel Master Egypt,jewel-master-egypt,02/12/2009,,,,
Front Mission 2,front-mission-2,24/09/1997,ESRB-E10,,,
Terminator Salvation,terminator-salvation,06/05/2009,ESRB-T,,,Terminator
F1 2018,f1-2018,23/08/2018,ESRB-E,1,1,
Are You Smarter Than a 5th Grader,are-you-smarter-than-a-5th-grader,30/08/2015,ESRB-E,1,1,
Oni,oni,25/01/2001,ESRB-T,1,0,
Juiced,juiced,12/06/2005,ESRB-T,1,1,
The Warriors,the-warriors,16/10/2005,ESRB-M,1,1,The Warriors
Star Fox Command,star-fox-command,02/08/2006,ESRB-E10,1,1,
J-League Soccer: Prime Goal 2,j-league-soccer-prime-goal-2,00/00/1994,,,,
Wayne Gretzky's 3D Hockey,wayne-gretzkys-3d-hockey,00/00/1996,,,,
Pachi-Slot Aruze Oukoku 4,pachi-slot-aruze-oukoku-4,00/00/2000,,,,
Return to Castle Wolfenstein: Operation Resurrection,return-to-castle-wolfenstein-operation-resurrection,26/05/2003,,,,
Mario Tennis: Power Tour,mario-tennis-power-tour,12/09/2005,ESRB-E,1,1,Mario Bros.
Seaman,seaman,28/07/1999,ESRB-T,1,0,
The Grinch,the-grinch,07/12/2000,,1,0,
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,littlest-pet-shop-3-biggest-stars---blue,00/00/2010,,,,
Sesame Street: Once Upon a Monster,sesame-street-once-upon-a-monster,10/10/2011,ESRB-E,1,1,Sesame Street
Silent Hill: Origins,silent-hill-origins,05/11/2007,,1,0,
Mystery Dungeon: Shiren the Wanderer,mystery-dungeon-shiren-the-wanderer,13/12/2006,ESRB-E,,,
GT Pro Series,gt-pro-series,18/11/2006,ESRB-E,1,1,
Tales of Symphonia: Dawn of the New World,tales-of-symphonia-dawn-of-the-new-world,25/06/2008,ESRB-T,1,1,
F.E.A.R. 2: Project Origin,fear-2-project-origin,00/00/2009,,,,
Final Fantasy: Chronicles,final-fantasy-chronicles,28/06/2001,ESRB-T,1,1,Final Fantasy
Out There Somewhere,out-there-somewhere,20/05/2014,,1,0,
Syphon Filter 3,syphon-filter-3,04/11/2001,ESRB-M,1,1,
Alan Wake's American Nightmare,alan-wakes-american-nightmare,00/00/2012,,,,
We Cheer,we-cheer,29/09/2008,ESRB-E10,1,1,
We Love Katamari,we-love-katamari,05/07/2005,ESRB-E,1,1,
SingStar: Dance,singstar-dance,04/11/2010,ESRB-T,1,1,
Mega Man 6,mega-man-6,04/11/1993,,1,0,Mega Man
The 3rd Birthday,the-3rd-birthday,21/12/2010,ESRB-M,1,0,
Rival Schools: United by Fate,rival-schools-united-by-fate,30/12/1997,ESRB-T,1,1,
Swing Away Golf,swing-away-golf,24/11/2000,,,,
J-League Pro Soccer Club o Tsukurou! 3,j-league-pro-soccer-club-o-tsukurou-3,00/00/2003,,,,
Tomb Raider: Legend,tomb-raider-legend,06/04/2006,ESRB-T,1,0,
Freedom Fighters,freedom-fighters,25/09/2003,ESRB-T,1,1,
Rune Factory 2: A Fantasy Harvest Moon,rune-factory-2-a-fantasy-harvest-moon,02/01/2008,,,,
That's So Raven 2: Supernatural Style,thats-so-raven-2-supernatural-style,00/00/2005,,,,
Classic Word Games,classic-word-games,00/00/2009,,,,
The Sims 2: Open for Business,the-sims-2-open-for-business,01/03/2006,ESRB-T,1,0,
Way of the Samurai 3,way-of-the-samurai-3,12/11/2008,ESRB-M,1,0,
Spectrobes: Beyond the Portals,spectrobes-beyond-the-portals,06/10/2008,ESRB-E10,1,1,
The Punisher,the-punisher,30/12/1990,,,,The Punisher
Front Mission 3,front-mission-3,01/09/1999,ESRB-T,1,0,
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,kenkou-ouen-recipe-1000-ds-kondate-zenshuu,00/00/2006,,,,
SimAnimals,simanimals,20/01/2009,ESRB-E,1,1,
SSX on Tour,ssx-on-tour,10/10/2005,ESRB-E,1,1,
Grim Fandango Remastered,grim-fandango-remastered,26/01/2015,,1,0,
"Go, Diego, Go! Safari Rescue",go-diego-go-safari-rescue,10/03/2011,ESRB-E,,,
Omega Boost,omega-boost,21/04/1999,ESRB-E,1,0,
One Piece: Pirate Warriors 3,one-piece-pirate-warriors-3,25/03/2015,ESRB-T,1,1,
The Magical Quest starring Mickey Mouse (weekly jp sales),the-magical-quest-starring-mickey-mouse-weekly-jp-sales,00/00/1992,,,,
Jampack Winter 2002,jampack-winter-2002,00/00/2002,,,,
Way of the Samurai,way-of-the-samurai,06/02/2002,ESRB-M,1,1,
Lair,lair,29/08/2007,ESRB-T,1,0,
Murdered: Soul Suspect,murdered-soul-suspect,02/06/2014,ESRB-M,1,0,
Fishing Derby,fishing-derby,30/12/1980,ESRB-E,1,1,
Pac-Man Fever,pac-man-fever,02/09/2002,ESRB-E,1,1,
DC Universe Online,dc-universe-online,10/01/2011,PEGI-16,0,1,
HITMAN 2,hitman-2,12/11/2018,ESRB-M,1,1,
International Track & Field,international-track-amp-field,00/00/1996,,,,
100 All-Time Favorites,100-all-time-favorites,26/10/2009,ESRB-E,,,
HSX HyperSonic.Xtreme,hsx-hypersonicxtreme,00/00/2003,,,,
Halo Wars 2,halo-wars-2,20/02/2017,ESRB-T,0,1,
Alice in Wonderland,alice-in-wonderland,01/03/2010,ESRB-T,1,1,Alice in Wonderland
Jikkyou Powerful Pro Yakyuu 10,jikkyou-powerful-pro-yakyuu-10,00/00/2003,,,,
Summoner,summoner,18/03/2001,ESRB-T,1,0,
SoulCalibur: Broken Destiny,soulcalibur-broken-destiny,26/08/2009,,1,1,
Naruto Shippuden: Clash of Ninja Revolution III,naruto-shippuden-clash-of-ninja-revolution-iii,00/00/2009,,,,
Shovel Knight,shovel-knight,25/06/2014,ESRB-E,1,0,
